date,all,long,short,net
2016-03-15,493086,247659,-78147,169512
2016-03-22,510579,258646,-79815,178831
2016-03-29,480461,262082,-72276,189806
2016-04-05,474094,263781,-73381,190400
2016-04-12,504523,286341,-72534,213807
2016-04-19,503331,291143,-74306,216837
2016-04-26,497884,288173,-67316,220857
2016-05-03,565774,338476,-66828,271648
2016-05-10,579777,337251,-72353,264898
2016-05-17,595077,340748,-74460,266288
2016-05-24,542958,291266,-84634,206632
2016-05-31,494321,274589,-77454,197135
2016-06-07,496330,295688,-67069,228619
2016-06-14,545357,347557,-67695,279862
2016-06-21,571517,358825,-66096,292729
2016-06-28,613792,373128,-71208,301920
2016-07-05,652971,389590,-73627,315963
2016-07-12,633020,378081,-80618,297463
2016-07-19,617069,366871,-80960,285911
2016-07-26,576325,347426,-68471,278955
2016-08-02,582211,365801,-71618,294183
2016-08-09,575399,356471,-70024,286447
2016-08-16,572496,351535,-67684,283851
2016-08-23,572973,359785,-65176,294609
2016-08-30,558398,340586,-64245,276341
2016-09-06,590656,370375,-62515,307860
2016-09-13,575002,351776,-66363,285413
2016-09-20,558791,326326,-70147,256179
2016-09-27,583161,358972,-67068,291904
2016-10-04,544824,324136,-78628,245508
2016-10-11,500328,283386,-88167,195219
2016-10-18,497061,274345,-94727,179618
2016-10-25,507617,285376,-88396,196980
2016-11-01,521506,288308,-73177,215131
2016-11-08,528203,289860,-72622,217238
2016-11-15,479237,245750,-68090,177660
2016-11-22,461062,241646,-74561,167085
2016-11-29,405661,229731,-78161,151570
2016-12-06,393524,227675,-91295,136380
2016-12-13,397034,229755,-100444,129311
2016-12-20,398661,219067,-104233,114834
2016-12-27,401513,206538,-108195,98343
2017-01-03,424673,208855,-112305,96550
2017-01-10,444001,214000,-104518,109482
2017-01-17,467937,218144,-111103,107041
2017-01-24,482374,209854,-100447,109407
2017-01-31,398433,212414,-93259,119155
2017-02-07,415543,216408,-99259,117149
2017-02-14,415128,212259,-102507,109752
